SPRAT ID,Scientific Name,Common Name,URL,Percentage of the species modelled likely and known distribution within fire affected areas,Type,EPBC Act listed Threatened Status,EPBC Act listed Migratory Status,Range states and territories
83603,Prasophyllum innubum,Brandy Marys Leek-orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83603,≥80%,Plant,Critically Endangered,,NSW
83604,Prasophyllum keltonii,Kelton's Leek-orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83604,≥80%,Plant,Critically Endangered,,NSW
66703,Prostanthera palustris,Swamp Mint-bush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66703,≥80%,Plant,Vulnerable,,NSW
20898,Prostanthera staurophylla,a mint-bush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20898,≥80%,Plant,Vulnerable,,NSW
13130,Pultenaea baeuerlenii,Budawangs Bush-pea,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13130,≥80%,Plant,Vulnerable,,NSW
56699,Pultenaea parrisiae,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56699,≥80%,Plant,Vulnerable,,"NSW, Vic"
87634,Sminthopsis griseoventer aitkeni  (listed as Sminthopsis aitkeni),Kangaroo Island Dunnart,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87634,≥80%,Mammal,Endangered,,SA
56017,Styphelia perileuca,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56017,≥80%,Plant,Vulnerable,,NSW
9367,Trachymene scapigera,Mountain Trachymene,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9367,≥80%,Plant,Endangered,,NSW
64543,Triplarina imbricata,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64543,≥80%,Plant,Endangered,,NSW
17190,Velleia perfoliata,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17190,≥80%,Plant,Vulnerable,,NSW
16458,Westringia cremnophila,Snowy River Westringia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16458,≥80%,Plant,Vulnerable,,Vic
56732,Zieria covenyi,Coveny's Zieria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56732,≥80%,Plant,Endangered,,NSW
64546,Zieria floydii,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64546,≥80%,Plant,Endangered,,NSW
3134,Acacia flocktoniae,Flockton Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3134,50 to <80%,Plant,Vulnerable,,NSW
9848,Acacia georgensis,Bega Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9848,50 to <80%,Plant,Vulnerable,,NSW
5031,Acacia gordonii,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5031,50 to <80%,Plant,Endangered,,NSW
2784,Acacia phasmoides,Phantom Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2784,50 to <80%,Plant,Vulnerable,,"NSW, Vic"
7559,Acacia ruppii,Rupp's Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7559,50 to <80%,Plant,Endangered,,"NSW, Qld"
21924,Allocasuarina defungens,Dwarf Heath Casuarina,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21924,50 to <80%,Plant,Endangered,,NSW
21935,Allocasuarina simulans,Nabiac Casuarina,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21935,50 to <80%,Plant,Vulnerable,,NSW
56308,Almaleea cambagei,Torrington Pea,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56308,50 to <80%,Plant,Vulnerable,,NSW
655,Atrichornis rufescens,Rufous Scrub-bird,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=655,50 to <80%,Bird,Endangered,,"NSW, Qld"
68511,Baloskion longipes,Dense Cord-rush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68511,50 to <80%,Plant,Vulnerable,,NSW
82696,Banksia montana,Stirling Range Dryandra,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82696,50 to <80%,Plant,Endangered,,WA
78349,Bertya ernestiana,a shrub,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78349,50 to <80%,Plant,Vulnerable,,Qld
8397,Boronia deanei,Deane's Boronia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8397,50 to <80%,Plant,Vulnerable,,NSW
64436,Calyptorhynchus lathami halmaturinus,"Glossy Black-Cockatoo (Kangaroo Island), Glossy Black-Cockatoo (South Australian)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64436,50 to <80%,Bird,Endangered,,SA
3125,Cheiranthera volubilis,Twining Finger Flower,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3125,50 to <80%,Plant,Vulnerable,,SA
9174,Coopernookia scabridiuscula,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9174,50 to <80%,Plant,Vulnerable,,Qld
17007,Correa baeuerlenii,Chef's Cap,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17007,50 to <80%,Plant,Vulnerable,,NSW
66626,Correa lawrenceana var. genoensis,Genoa River Correa,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66626,50 to <80%,Plant,Endangered,,"NSW, Vic"
82945,Corunastylis littoralis,Tuncurry Midge Orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82945,50 to <80%,Plant,Critically Endangered,,NSW
6494,Corybas montanus,Small Helmet-orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6494,50 to <80%,Plant,Vulnerable,,Qld
17296,Darwinia collina,Yellow Mountain Bell,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17296,50 to <80%,Plant,Endangered,,WA
83191,Darwinia nubigena,"Success Bell, Red Mountain Bell",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83191,50 to <80%,Plant,Vulnerable,,WA
20644,Deyeuxia drummondii,"Drummond's Grass, Drummond Grass",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20644,50 to <80%,Plant,Endangered,,WA
88275,Diuris eborensis,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88275,50 to <80%,Plant,Endangered,,NSW
8700,Epacris hamiltonii,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8700,50 to <80%,Plant,Endangered,,NSW
56224,Eucalyptus langleyi,Albatross Mallee,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56224,50 to <80%,Plant,Vulnerable,,NSW
59199,Eulamprus leuraensis,Blue Mountains Water Skink,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59199,50 to <80%,Reptile,Endangered,,NSW
78405,Gastrolobium luteifolium,Yellow-leafed Gastrolobium,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78405,50 to <80%,Plant,Critically Endangered,,WA
64677,Grevillea banyabba,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64677,50 to <80%,Plant,Vulnerable,,NSW
22002,Grevillea beadleana,Beadle's Grevillea,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22002,50 to <80%,Plant,Endangered,,NSW
64521,Grevillea guthrieana,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64521,50 to <80%,Plant,Endangered,,NSW
64651,Grevillea quadricauda,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64651,50 to <80%,Plant,Vulnerable,,"NSW, Qld"
66702,Hakea archaeoides,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66702,50 to <80%,Plant,Vulnerable,,NSW
16839,Haloragis exalata subsp. velutina,Tall Velvet Sea-berry,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16839,50 to <80%,Plant,Vulnerable,,"NSW, Qld"
6480,Haloragodendron lucasii,Hal,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6480,50 to <80%,Plant,Endangered,,NSW
