DOY,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
251,63672,44369,69080,54145,59612,39316,49505,90770,20550,117931,120111,43614,46491,33943,42740,37546,57137,
252,63755,44385,69110,54179,59627,39356,49549,90776,20557,117955,120117,43623,46498,33957,42754,37549,57141,
253,63777,44430,69137,54237,59658,39369,49576,90785,20559,117983,120123,43636,46533,33969,42771,37556,57175,
254,63825,44462,69230,54315,59719,39372,49599,90786,20563,117996,120125,43656,46534,33979,42815,37607,57259,
255,63852,44470,69309,54336,59765,39395,49626,90789,20570,118015,120150,43687,46558,33986,42845,37638,57351,
256,63895,44485,69362,54386,59793,39414,49628,90799,20576,118025,120168,43699,46577,33996,42867,37685,57392,
257,63936,44497,69399,54449,59825,39447,49650,90801,20582,118033,120189,43721,46632,34015,42888,37760,57421,
258,63997,44504,69457,54563,59856,39461,49672,90816,20600,118043,120212,43762,46673,34038,42894,37820,57478,
259,64039,44512,69527,54599,59901,39483,49692,90827,20607,118045,120262,43827,46713,34043,42914,37887,57576,
260,64071,44528,69596,54655,59937,39497,49776,90846,20613,118046,120294,43895,46774,34055,42919,37928,57656,
261,64154,44550,69605,54677,59999,39504,49832,90859,20614,118046,120328,43946,46808,34070,42953,37994,57692,
262,64185,44578,69616,54690,60025,39522,49843,90876,20614,118048,120388,43994,46864,34078,42964,38035,57720,
263,64223,44590,69630,54696,60059,39531,49869,90883,20614,118054,120391,43998,46907,34097,42974,38099,57743,
264,64243,44611,69658,54697,60080,39540,49899,90896,20616,118056,120404,44002,46932,34111,42982,38139,57795,
265,64265,44616,69709,54697,60115,39546,49929,90906,20625,118056,120418,44006,46953,34131,42984,38148,57823,
266,64305,44633,69760,54702,60139,39554,49951,90908,20647,118058,120445,44015,46986,34148,42994,38156,57872,
267,64323,44644,69865,54739,60145,39556,50012,90926,20670,118069,120484,44040,47028,34166,43010,38173,57907,
268,64391,44675,69915,54790,60149,39566,50088,90947,20690,118106,120497,44046,47052,34182,43035,38198,57943,
269,64423,44758,69969,54841,60178,39576,50156,90962,20720,118116,120542,44080,47105,34209,43052,38202,57944,
270,64440,44821,70002,54887,60238,39593,50193,90971,20745,118144,120560,44089,47135,34219,43076,38230,57944,
271,64449,44885,70042,54936,60260,39595,50234,90978,20751,118171,120599,44102,47205,34219,43105,38261,57956,
272,64459,44919,70099,54959,60317,39604,50257,90989,20760,118189,120614,44109,47213,34236,43139,38301,57957,
273,64467,44972,70122,54978,60350,39635,50290,91011,20763,118205,120654,44113,47218,34247,43145,38336,57959,
274,64512,45002,70138,54995,60378,39645,50333,91012,20773,118222,120713,44120,47221,34287,43157,38351,57965,
275,64564,45060,70164,55028,60395,39690,50375,91019,20779,118247,120721,44141,47224,34307,43186,38365,57983,
276,64568,45146,70207,55092,60432,39718,50462,91045,20791,118275,120725,44174,47242,34327,43202,38378,58011,
277,64590,45199,70236,55134,60484,39744,50494,91051,20801,118297,120730,44190,47247,34355,43234,38415,58049,
278,64613,45222,70257,55178,60501,39769,50534,91063,20826,118348,120759,44199,47249,34370,43259,38429,58126,
279,64636,45228,70314,55178,60547,39794,50555,91065,20852,118356,120765,44233,47262,34389,43306,38451,58151,
280,64656,45270,70348,55185,60561,39818,50578,91082,20879,118362,120780,44253,47265,34397,43329,38459,58181,
281,64715,45309,70391,55211,60597,39826,50620,91103,20898,118376,120784,44267,47281,34429,43348,38500,58197,
282,64774,45345,70424,55246,60610,39847,50652,91130,20906,118407,120800,44305,47307,34446,43384,38570,58242,
283,64789,45358,70447,55287,60625,39859,50678,91166,20915,118422,120821,44317,47371,34488,43409,38617,58282,
284,64797,45367,70460,55351,60639,39888,50698,91179,20938,118446,120824,44342,47387,34525,43439,38694,58340,
285,64822,45388,70514,55391,60671,39929,50698,91192,20995,118474,120828,44367,47415,34622,43489,38719,58410,
286,64860,45405,70555,55412,60719,39955,50698,91194,21041,118507,120831,44379,47426,34650,43532,38749,58437,
287,64872,45457,70667,55420,60735,39969,50701,91201,21077,118540,120838,44395,47458,34677,43583,38765,58478,
288,64883,45499,70791,55433,60756,39975,50706,91213,21110,118557,120843,44403,47482,34700,43646,38773,58484,
289,64910,45541,70823,55456,60757,40014,50709,91224,21125,118574,120850,44421,47513,34713,43691,38792,58572,
290,64923,45585,70897,55500,60805,40029,50729,91237,21146,118595,120857,44438,47565,34742,43711,38828,58620,
291,64942,45615,70941,55518,60839,40061,50746,91238,21155,118609,120863,44462,47607,34760,43757,38855,58657,
292,64948,45634,70995,55571,60897,40102,50759,91244,21165,118627,120879,44496,47629,34776,43784,38886,58696,
293,64984,45642,71070,55595,60940,40137,50774,91249,21170,118653,120918,44527,47632,34790,43871,38897,58739,
294,65000,45683,71176,55614,60972,40168,50800,91274,21172,118667,120946,44566,47637,34793,43928,38911,58770,
295,65023,45716,71291,55666,61023,40186,50835,91282,21180,118685,120953,44591,47677,34839,44011,38928,58775,
296,65040,45748,71334,55725,61054,40208,50877,91300,21185,118709,120967,44622,47713,34862,44044,38941,58783,
297,65088,45771,71384,55779,61122,40212,50912,91347,21217,118738,121007,44633,47784,34909,44082,38977,58784,
298,65168,45799,71408,55828,61184,40243,50969,91354,21231,118775,121046,44667,47852,34923,44148,39011,58793,
299,65195,45831,71462,55885,61234,40267,51011,91358,21244,118811,121108,44686,48005,34936,44186,39062,58815,
300,65211,45859,71517,55957,61264,40297,51071,91377,21251,118848,121129,44692,48058,34977,44253,39143,58824,
301,65223,45875,71586,56020,61296,40325,51164,91390,21256,118862,121176,44699,48134,35012,44275,39168,58838,
302,65246,45881,71649,56027,61315,40343,51274,91404,21274,118868,121199,44716,48209,35035,44302,39220,58855,
303,65288,45888,71688,56061,61341,40382,51355,91440,21304,118870,121262,44753,48235,35043,44356,39276,58878,
304,65322,45891,71728,56065,61393,40422,51426,91459,21333,118874,121304,44760,48301,35054,44397,39300,58884,
305,65359,45915,71761,56084,61451,40476,51508,91476,21357,118879,121332,44777,48337,35059,44466,39340,58901,
306,65382,45940,71816,56169,61502,40506,51572,91491,21374,118881,121347,44785,48357,35066,44475,39369,58908,
307,65437,45951,71910,56233,61570,40542,51601,91499,21394,118888,121357,44797,48369,35085,44510,39397,58911,
308,65462,45973,71980,56304,61632,40591,51651,91508,21408,118895,121407,44822,48423,35093,44562,39411,58912,
309,65533,45990,72042,56358,61710,40626,51671,91533,21476,118898,121422,44843,48505,35130,44601,39476,58922,
310,65574,46038,72080,56394,61740,40665,51742,91608,21495,118909,121440,44864,48604,35161,44647,39534,58961,
311,65606,46068,72135,56436,61818,40712,51800,91639,21533,118926,121450,44884,48898,35197,44674,39565,59005,
312,65648,46072,72176,56513,61865,40825,51814,91688,21536,118968,121454,44920,48939,35226,44707,39601,59049,
313,65673,46083,72210,56587,61902,40878,51842,91702,21545,119008,121460,44929,49147,35242,44751,39632,59119,
314,65692,46098,72242,56661,61937,40902,51870,91716,21585,119056,121479,44946,49247,35257,44793,39703,59141,
315,65712,46126,72249,56715,61973,40967,51890,91729,21631,119090,121494,44959,49383,35271,44832,39759,59212,
316,65725,46141,72253,56746,61982,40986,51916,91768,21742,119130,121501,44998,49539,35327,44884,39848,59240,
317,65759,46203,72272,56772,62001,41040,51938,91874,21785,119160,121528,45033,49736,35374,44938,39915,59308,
318,65789,46223,72428,56803,62059,41083,51959,91909,21852,119186,121528,45056,50033,35486,44948,40034,59328,
319,65810,46257,72468,56837,62082,41149,52000,91929,21882,119238,121539,45083,50147,35637,44978,40212,59345,
320,65867,46265,72519,56870,62126,41186,52083,91947,21934,119271,121564,45109,50215,35657,45084,40266,59364,
321,65907,46286,72558,56904,62165,41237,52129,91948,21975,119367,121569,45138,50245,35708,45297,40364,59400,
322,65959,46334,72644,56958,62174,41264,52213,91960,21994,119446,121589,45165,50320,35781,45371,40425,59411,
323,66036,46375,72738,56972,62204,41294,52255,91988,22029,119465,121590,45177,50356,35891,45394,40510,59430,
324,66103,46440,72777,57002,62222,41364,52291,91989,22065,119505,121617,45192,50420,35914,45399,40570,59451,
325,66165,46492,72873,57018,62268,41401,52372,91995,22119,119544,121629,45234,50455,36054,45415,40612,59501,
326,66315,46536,72944,57030,62309,41490,52437,92025,22124,119582,121636,45251,50504,36086,45507,40699,59529,
327,66382,46552,73123,57067,62389,41544,52680,92048,22151,119646,121638,45261,50624,36104,45577,40779,59564,
328,66500,46575,73198,57108,62450,41580,52744,92060,22200,119670,121640,45288,50678,36124,45643,40817,59618,
329,66577,46605,73282,57155,62517,41591,52816,92093,22245,119670,121650,45326,50729,36152,45733,40851,59648,
330,66704,46621,73345,57186,62542,41611,52857,92100,22352,119670,121656,45367,50755,36188,45859,40900,59679,
331,66813,46632,73403,57218,62573,41654,52908,92139,22405,119675,121672,45408,50899,36216,45920,40939,59753,
332,66854,46656,73538,57241,62645,41668,52927,92153,22536,119677,121680,45448,50963,36230,45985,40993,59817,
333,66891,46691,73596,57321,62675,41681,52966,92162,22569,119714,121702,45505,51014,36256,46098,41040,59957,
334,66936,46721,73704,57403,62708,41708,53058,92179,22710,119723,121719,45520,51083,36308,46154,41086,59997,
335,66959,46790,73790,57482,62730,41749,53081,92202,22839,119730,121742,45527,51090,36371,46428,41363,60019,
336,66982,46925,73958,57554,62783,41759,53111,92229,22958,119730,121754,45547,51099,36394,46525,41415,60067,
337,67049,46995,74044,57601,62840,41762,53118,92247,23120,119737,121768,45557,51148,36489,46655,41501,60074,
338,67069,47012,74143,57684,62864,41796,53179,92278,23185,119746,121863,45632,51210,36501,46743,41581,60160,
339,67118,47038,74189,57719,62911,41813,53242,92326,23389,119775,121877,45656,51278,36563,46803,41703,60187,
340,67186,47091,74223,57799,62916,41834,53316,92377,23476,119829,121945,45746,51425,36595,46995,42039,60249,
341,67248,47126,74271,57846,62931,41840,53388,92410,23654,119856,121957,45760,51541,36667,47067,42142,60307,
342,67472,47157,74320,57874,62942,41879,53405,92513,23668,119974,121993,45769,51603,36709,47302,42399,60317,
343,67553,47177,74416,57934,62958,41890,53501,92743,23831,119993,122001,45790,51780,36788,47387,42440,60326,
344,67676,47225,74481,57961,63004,41910,53562,92804,23846,120094,122011,45817,51795,36905,47604,42549,60358,
345,67737,47281,74541,57967,63042,41962,53686,92855,23910,120150,122042,45855,51840,36958,47742,42577,60469,
346,67836,47330,74577,57972,63097,41992,53745,92889,23952,120230,122054,45886,51846,37114,47761,42682,60547,
347,67883,47422,74599,57991,63139,42039,53899,92985,23981,120370,122073,45909,51855,37143,47783,42856,60626,
348,67921,47542,74662,58015,63195,42071,54014,93009,24068,120452,122096,45918,51868,37194,47857,42947,60663,
349,67950,47650,74689,58065,63247,42117,54088,93060,24107,120502,122127,45922,51891,37207,48016,43165,60767,
350,68011,47689,74702,58113,63301,42163,54147,93102,24531,120545,122164,45928,51913,37246,48072,43205,60837,
351,68068,47789,74717,58160,63344,42194,54209,93174,24748,120664,122195,45937,51916,37268,48152,43314,60897,
352,68134,47924,74787,58187,63356,42226,54386,93234,24954,120703,122209,45959,51973,37287,48168,43337,60952,
353,68212,48007,74849,58198,63356,42270,54523,93242,25166,120805,122235,45981,51995,37341,48252,43499,61111,
354,68256,48184,74887,58209,63370,42285,54641,93355,25251,120904,122284,45996,52043,37346,48348,43607,61325,
355,68275,48307,74947,58219,63371,42295,54722,93389,25459,121054,122296,46012,52058,37357,48498,43768,61403,
356,68398,48482,74960,58233,63398,42365,54802,93504,25536,121240,122300,46093,52099,37380,48767,43897,61670,
357,68419,48599,74995,58247,63438,42378,54854,93554,25917,121362,122313,46118,52152,37400,48846,44008,61735,
358,68453,48725,75007,58257,63459,42450,54880,93597,26082,121610,122366,46244,52166,37413,49077,44184,61883,
359,68470,48819,75034,58261,63477,42515,54943,93713,26314,121655,122403,46292,52222,37427,49165,44355,62089,
360,68529,48889,75045,58280,63477,42588,54977,93753,26456,121785,122434,46390,52243,37437,49258,44394,62168,
361,68607,49006,75074,58351,63478,42700,55046,93767,26683,121804,122510,46518,52316,37451,49285,44464,62242,
362,68703,49056,75091,58386,63494,42764,55074,93772,26857,121833,122543,46563,52351,37469,49313,44580,62288,
363,68750,49172,75109,58457,63549,42803,55115,93848,26899,121857,122661,46625,52412,37497,49621,44663,62404,
364,68792,49270,75116,58476,63597,42832,55180,93902,27032,121872,122715,46665,52447,37625,49676,44707,62430,
365,68919,49492,75120,58495,63679,42890,55228,93984,27063,121889,122779,46786,52461,37685,49734,44720,62616,
