DOY,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
60,5675,4671,6699,6668,8540,6289,5680,9442,5021,12639,10423,6275,7994,6020,5963,6692,8161,7896
61,5889,4795,6778,6837,8667,6461,5763,9608,5080,12927,10887,6472,8162,6063,6192,6846,8318,8015
62,6117,4847,6966,7067,8840,6510,5801,9737,5187,13354,11219,6651,8435,6255,6269,6996,8353,8173
63,6414,4980,6989,7226,8963,6711,5853,9904,5350,14291,11551,6872,8610,6424,6398,7087,8494,8262
64,6680,5120,7086,7464,9033,6764,5981,10219,5840,14845,11965,7015,8958,6587,6425,7144,8806,8446
65,7100,5297,7200,7577,9096,6845,6079,10314,6116,15516,12331,7145,9157,6715,6507,7259,9024,8585
66,7301,5530,7284,7807,9126,6864,6265,10575,6152,15840,12868,7211,9496,6839,6569,7364,9422,8857
67,7539,5659,7389,8000,9289,6917,6339,10699,6173,16502,13226,7307,9723,6937,6704,7634,9624,9173
68,7732,5912,7472,8192,9477,6977,6457,10947,6194,16816,13846,7402,9915,6983,6804,7752,10002,9665
69,7877,6018,7614,8457,9761,7011,6570,11081,6448,17501,14069,7466,10087,7092,6854,7989,10274,10045
70,8052,6216,7669,8612,9946,7094,6710,11470,6551,18156,14497,7646,10198,7157,6975,8312,10581,10456
71,8149,6446,7728,8855,10189,7132,6972,11875,6782,18477,14914,7702,10407,7377,7012,8465,10906,11047
72,8479,6659,7752,8966,10381,7282,7174,12237,6836,19461,15540,7838,10469,7522,7077,8721,11204,11375
73,8723,7017,7874,9088,10541,7448,7427,12788,7017,20010,15882,7927,10812,7639,7103,8818,11457,11715
74,9040,7373,7999,9188,10859,7710,7534,13191,7133,20626,16131,8145,10946,7782,7206,8988,11543,11796
75,9092,7654,8163,9423,11003,8116,7897,13712,7311,21171,16828,8415,11161,7888,7301,9128,11862,11946
76,9321,7806,8352,9607,11193,8334,8160,13878,7648,22302,17025,8546,11393,8082,7396,9515,11970,12110
77,9548,8295,8522,9822,11276,8688,8321,14277,7847,23170,17562,8709,11713,8169,7451,9716,12148,12211
78,9784,8611,8870,9851,11394,8888,8561,14569,8231,24369,17959,8789,11995,8421,7459,9915,12341,12325
79,9955,8955,9084,10055,11533,9353,8781,14965,8274,25886,18389,8983,12294,8589,7489,10175,12781,12431
80,10125,9370,9502,10426,11790,9818,9156,15287,8329,26898,18680,9240,12956,8982,7534,10428,13112,12629
81,10711,9720,9661,10667,11972,10316,9337,15665,8339,28869,19094,9811,13243,9147,7572,10548,13316,12775
82,10975,10226,9831,10902,12132,10749,9874,16427,8341,29448,19704,10118,13631,9238,7598,10732,13789,12849
83,11521,10604,10146,11135,12555,11074,10125,16844,8369,30508,20142,10486,13711,9372,7626,11102,14011,12942
84,11896,11085,10378,11533,12711,11571,10602,17714,8376,30980,20795,10948,13977,9606,7658,11325,14326,13029
85,12444,11356,10682,11916,12995,11852,10923,18366,8451,31593,21074,11323,14189,10304,7729,11558,14408,13186
86,13655,11713,10910,12174,13127,12310,11117,19426,8486,32190,21835,11895,14295,10663,7959,11817,14634,13284
87,14551,11989,11345,12562,13443,12618,11318,20100,8539,33109,22182,12211,14480,11074,8059,12036,14758,13405
88,15367,12201,11502,12694,13746,13104,11454,20870,8557,34570,22839,12619,14635,11238,8198,12227,15063,13471
89,15707,12498,11791,13201,13922,13487,11874,21752,8649,35604,23405,12837,15015,11474,8413,12396,15387,13611
90,16180,12713,12016,13516,14278,13845,12092,22261,8720,36788,23873,13049,15135,11823,8628,12702,15510,13757
91,16425,13072,12340,14123,14531,14326,12414,23223,8818,37327,24509,13392,15363,11947,8896,12847,15910,13944
92,17187,13270,12717,14645,14989,14567,12827,23769,9106,38721,24625,13628,15494,12328,8954,13087,16153,14211
93,17771,13427,12961,14915,15186,14851,13450,24599,9255,40805,24732,13885,15847,12555,9068,13111,16820,14419
94,18228,13615,13191,15490,15473,14928,13886,24727,9497,42292,24949,13988,16197,13314,9276,13141,17217,14533
95,18856,13847,13657,16051,15725,15026,14036,24889,9590,43283,25359,14191,16353,13536,9823,13304,17757,14685
96,19185,14282,14491,16947,15979,15144,14309,25164,9982,43899,25680,14398,16657,13880,9844,13354,18125,14977
97,19427,14605,15019,17486,16328,15360,14414,25574,10271,44459,26059,14767,16870,14289,10040,13546,18404,15127
98,19808,14898,15397,17999,16667,15538,14697,26250,10624,44711,26472,15094,17424,14551,10157,13647,18673,15518
99,20509,14929,16151,18352,17147,15654,14889,26602,10753,45217,26814,15530,17696,14900,10569,13832,18818,15745
100,21039,15177,16993,18631,17333,15846,15387,27375,10772,45576,27321,16252,18307,15056,11055,13929,19095,16129
101,21677,15231,18522,19184,17610,15986,15899,27715,10851,46159,27791,16642,18652,15364,11514,14218,19315,16527
102,22300,15367,19435,19847,17841,16184,16191,28179,10859,47059,28558,17077,18857,15437,12142,14540,19933,16676
103,22576,15560,19945,20516,18254,16281,16503,28458,10942,48009,28971,17379,19137,15624,12452,14750,20283,16907
104,23047,15752,20296,21060,18512,16487,16683,28861,11020,49416,29283,17755,19352,15768,13216,15017,20583,17048
105,23222,15900,21168,21801,18614,17074,16908,29518,11268,50941,29590,17925,19634,15937,13607,15144,20833,17280
106,23707,16090,21725,22024,18859,17443,17009,30129,11386,53064,29947,18172,19834,16232,14223,15370,20955,17410
107,24272,16531,22460,22255,18996,17877,17179,31164,11403,55683,30733,18436,20420,16381,14420,15435,21344,17657
108,24821,16732,23209,22522,19322,18232,17272,32314,11470,57210,31377,18547,20777,16660,14674,15465,21439,17860
109,25690,17072,23704,23025,19440,18642,17589,33601,11532,58285,32428,18680,21350,16771,15066,15483,21815,17965
110,26252,17259,24098,23315,19691,18844,17921,34023,11730,58771,33113,18820,22106,17127,15236,15531,21959,18214
111,27250,17659,24229,23394,19918,19279,18220,34841,11877,59088,34383,19143,22848,17461,15644,15576,22280,18357
112,27832,17857,24489,23673,20095,19475,18482,35586,12021,59499,35022,19312,23608,17773,15855,15594,22567,18668
113,28655,18147,24947,23777,20237,19672,18623,36305,12120,60068,36314,19710,23928,17954,16252,15602,22838,18788
114,29262,18718,26288,24133,20341,19822,18958,37169,12196,60305,37000,19959,24507,18111,16434,15650,23135,18945
115,30402,19049,28066,24471,20548,19985,19551,37854,12337,60864,38528,20085,24845,18421,16647,15768,23332,19057
116,31075,19409,30187,24681,20652,20175,20477,38950,12440,61232,39375,20289,25850,18748,16698,15874,23878,19126
117,31713,19710,32295,24879,20957,20310,21153,39663,12703,62098,39754,20461,26239,19172,16820,16140,24268,19165
118,32223,20067,33475,25051,21108,20630,21743,40555,12982,63506,40706,20699,26596,19402,16987,16428,25262,19188
119,32553,20557,34718,25402,21354,20876,22218,41107,13419,64985,41498,21002,27135,19885,17165,16646,25826,19279
120,33202,20761,35534,25666,21569,21212,22589,41513,13581,66460,42093,21391,27588,20263,17552,16948,26421,19349
121,33625,21607,37138,26277,21760,21570,23463,41879,14238,67503,42513,21618,28253,20572,17845,17053,26709,19369
122,34981,22209,38339,26573,21938,21861,23987,42160,14594,69380,42797,21813,28741,20859,18373,17262,26795,19371
123,35686,23407,38915,27270,22046,22422,24967,42759,14748,70533,43203,22096,29646,21099,18751,17571,26985,19424
124,36364,23711,39577,27732,22247,22790,25421,43118,14833,71762,43843,22235,30043,21457,19182,18052,27173,19462
125,36761,24530,39991,28191,22353,23457,26253,44445,14904,72404,45516,22412,30291,21614,19632,18366,27655,19505
126,37096,25075,41143,28602,22505,23752,26973,45308,14964,73806,46828,22597,30556,22052,19787,18799,27826,19569
127,37767,25935,41658,29064,22616,24353,27497,47150,15032,74690,48413,23122,30667,22218,20221,19138,28268,19623
128,38318,26477,42294,29662,22848,24771,28287,47961,15103,75107,49717,23320,30886,22347,20351,19456,28671,19715
129,38965,27160,42558,29839,23318,25636,28811,48285,15172,75629,50902,23587,31030,22542,20691,20041,29028,19839
130,39359,28041,42845,30311,23754,26018,30029,48657,15241,76250,52219,23979,31524,22656,20980,20335,29541,20141
131,40181,28334,43175,30520,24342,26814,30650,48778,15427,77945,53206,24230,31890,22839,21368,20792,29770,20484
132,40620,28836,43543,30933,24760,27524,31068,49216,15565,78824,54329,24688,32421,22959,21617,20915,29976,20971
133,41110,29036,44223,31278,25539,27876,31335,49387,15729,79750,54471,24872,32760,23266,21832,21149,30098,21497
134,41365,29541,44712,31584,26064,28304,31858,50192,15771,80834,54672,25199,33108,23427,22160,21538,30446,21741
135,41671,29982,45559,31889,26829,28361,32454,50696,15844,82344,54962,25287,33621,23606,22370,21845,30733,22285
136,41993,30599,46190,32135,27922,28566,33120,51137,15876,83698,55624,25406,33991,23713,22757,22026,31242,22563
137,42183,30963,47994,32652,28647,28725,34407,51784,15930,84932,56913,25578,34459,23866,22900,22145,31506,22946
138,42346,31257,49699,32889,30037,28992,35541,52305,16027,87296,57807,25925,34722,23991,23573,22507,31859,23200
139,42515,31967,51070,33296,31354,29215,36852,53471,16104,88687,59253,26445,35404,24123,24353,22649,32458,23539
140,42808,32335,52270,33413,33969,29307,37554,54122,16171,89832,60165,26516,35767,24506,25574,22829,32839,24046
141,43062,32984,52678,33723,35174,29385,38101,55737,16227,90178,61399,26689,36136,24642,26969,23180,33331,24405
142,43310,33480,53250,33960,36931,29496,38426,56864,16359,91134,62405,26825,36457,25242,27942,23724,33466,24699
143,43616,33913,53539,34100,37991,29895,38575,58828,16402,91793,64140,27391,36768,25707,29026,23996,33822,24865
144,43867,34208,53931,34416,38903,30297,38716,60237,16502,92665,65767,27561,37335,26277,29382,24063,34034,25126
145,44215,34341,54035,34598,40082,30936,38940,61289,16568,92906,66784,27591,37582,26563,30306,24111,34161,25209
146,44365,34567,54261,34784,40793,31331,39174,62476,16683,92984,67666,27613,37992,26758,30666,24154,34346,25481
147,44740,35109,54333,34805,42153,31785,39527,63069,16789,93205,68558,27689,38197,27155,31254,24244,34807,25612
148,45095,36160,54433,35092,42922,32131,40293,63551,16951,93372,70053,27952,38587,27466,31865,24310,35758,25740
149,45436,36499,54722,35545,44177,32409,40640,64015,17107,93594,70818,28328,38739,28002,32632,24483,36912,25850
150,45668,37119,54947,36035,44748,32703,40947,64731,17122,94209,72273,28515,38883,28238,33184,24617,37503,25890
151,45800,37496,55575,36813,45515,32820,41136,64943,17139,94981,72985,28803,39047,28460,33311,24728,39007,26027
152,45948,37830,55943,37252,46688,32979,41172,66040,17157,95799,74336,28938,39124,28548,33576,24946,41061,26120
153,46217,38085,57038,37571,47391,33171,41220,67788,17233,96333,75565,28977,39263,28670,33657,25051,43180,26365
154,46344,38204,57974,37666,48203,33775,41303,69842,17279,96814,76900,29067,39334,28796,33785,25181,44778,26503
155,46523,38370,58984,37766,48544,33985,41707,71000,17323,96985,78344,29217,39498,28962,33978,25186,46364,26894
156,46714,38469,59804,37916,49022,34168,41939,71623,17404,97154,79406,29440,39760,29015,34351,25225,47555,27211
157,46965,38538,60444,38198,49460,34257,42242,72897,17444,97166,81196,29810,40122,29093,35049,25356,48099,27549
158,47575,38578,60593,38561,50061,34335,43101,73863,17510,97208,82429,30052,40320,29488,35456,25589,48468,27879
159,48371,38651,60675,38821,50402,34620,43468,75448,17546,97424,86524,30622,40342,29557,36386,26153,48764,28147
160,49085,38832,60892,39146,50501,34768,44046,76672,17613,97827,88360,30859,40459,29803,37049,26442,48860,28679
161,49480,39056,61042,39331,50583,35024,44202,78125,17637,99301,90064,31264,40506,29996,37711,26668,48937,29194
162,49607,39345,61091,39815,50661,35304,44404,79414,17708,100480,91526,31599,40696,30183,38065,26851,48997,30073
163,49803,39467,61145,40123,50806,35440,44510,80318,17711,100824,92670,31884,40797,30356,38546,27380,49039,30340
164,50425,39640,61152,40737,50917,35718,44744,80744,17713,101034,94191,32167,40893,30507,38771,27686,49143,30636
165,51216,39746,61218,41400,51229,35900,44907,81036,17716,101286,95275,32247,40984,30562,38824,27992,49185,30890
166,51529,39905,61285,42184,51464,36103,45268,81833,17755,102057,97249,32351,41069,30618,38986,28455,49226,31191
167,51725,40074,61475,43061,51789,36277,45495,82268,17833,102809,98144,32411,41215,30697,39047,28925,49237,31832
168,52211,40150,61642,43585,52190,36531,45624,82766,17947,103315,100007,32503,41312,30759,39226,29362,49250,32165
169,52605,40202,62091,44100,52491,36666,45990,83018,18084,103521,101073,32585,41631,30801,39323,29585,49262,33215
170,53085,40216,62227,44295,53055,36834,46280,83410,18112,103588,101960,32779,41856,30814,39434,29971,49320,33998
171,53555,40280,62365,44908,53313,37107,46479,83801,18125,103687,102714,32978,42192,30860,39493,30409,49488,35158
172,53971,40357,62565,45307,53691,37335,46600,83860,18126,103874,103265,33132,42383,30972,39559,30955,49589,36066
173,54231,40510,62737,46014,54119,37608,46725,83978,18130,104108,104018,33351,42701,31005,39683,31187,49750,36917
174,54507,40662,63025,46752,54667,37705,46896,84064,18139,104836,104298,33496,42875,31118,39757,31360,49815,37558
175,54721,40777,63138,47247,54834,37808,46938,84320,18148,105053,104615,33774,43048,31129,39952,31530,49923,37922
176,54841,40924,63208,47648,55043,37831,46986,84588,18156,105434,104856,33890,43423,31318,39995,31661,50006,38541
177,55172,40942,63244,47805,55404,37869,47057,84822,18156,105866,104946,34182,43615,31327,40117,31998,50149,39020
178,55438,40972,63258,47941,55514,37871,47303,84968,18157,106086,105144,34333,43831,31367,40158,32245,50311,39766
179,56045,40985,63260,48014,55677,37874,47457,85033,18158,106308,105293,34488,43934,31375,40180,32659,50517,40132
180,56229,41015,63268,48139,55699,37914,47563,85090,18159,106355,105463,34577,44173,31379,40197,32888,50736,40344
181,56529,41030,63285,48344,55767,37948,47603,85164,18171,106387,105647,34754,44275,31382,40220,33211,50877,40512
182,56948,41101,63321,48576,55838,37982,47624,85224,18193,106454,105956,34979,44372,31392,40263,33458,51020,40606
183,57359,41179,63415,48886,55960,38038,47643,85286,18204,106586,106170,35447,44481,31428,40313,33773,51134,40885
184,57630,41325,63511,49248,56046,38076,47660,85295,18216,106836,106506,36859,44550,31458,40420,34052,51452,41129
185,57723,41493,63585,49441,56116,38095,47816,85324,18225,107140,106683,37252,44588,31519,40461,34180,51727,41489
186,57980,41743,63621,49664,56311,38230,47828,85331,18234,107772,106791,37792,44605,31535,40496,34367,52032,41762
187,58242,42010,63692,49906,56406,38348,47830,85406,18273,108306,107193,38245,44665,31537,40507,34489,52262,
188,58393,42147,63791,50009,56574,38378,47843,85435,18283,109260,107703,38971,44679,31546,40514,34579,52427,
189,58540,42377,63848,50304,56691,38423,47845,85509,18284,109818,108178,39281,44704,31595,40530,34603,52586,
190,58763,42579,63863,50715,56870,38444,47864,85529,18316,110713,108664,39522,44727,31779,40540,34645,52719,
191,58988,42709,63876,51034,56912,38466,47939,85568,18346,111200,109455,39853,44807,31903,40555,34752,52840,
192,59325,42816,63906,51188,56986,38479,47967,85603,18364,111661,109779,39898,44863,32040,40569,34827,52882,
193,59721,42925,63972,51271,57033,38483,47977,85642,18370,112174,110243,39974,44904,32103,40616,34903,52911,
194,60052,42964,64057,51298,57110,38483,47990,85778,18375,112478,110668,39985,44971,32135,40677,34973,52942,
195,60156,42965,64161,51317,57177,38485,47998,86021,18378,113250,111112,40020,44983,32195,40741,35142,52973,
196,60190,42968,64308,51361,57253,38490,48008,86345,18384,113909,111691,40118,45014,32274,40774,35217,53034,
197,60332,42979,64478,51382,57296,38505,48010,86641,18389,114538,112149,40274,45028,32411,40806,35397,53096,
198,60445,42983,64650,51399,57316,38519,48025,87106,18394,114835,113242,40429,45047,32478,40849,35526,53179,
199,60577,42983,64823,51437,57361,38519,48056,87285,18406,114983,113771,40670,45079,32554,40853,35605,53236,
200,60665,42983,64962,51513,57389,38530,48117,87510,18415,115009,114004,40860,45100,32571,40859,35664,53342,
201,60741,42986,65025,51587,57435,38558,48143,87676,18428,115040,114124,40952,45131,32600,40876,35686,53448,
202,60765,42992,65115,51617,57472,38579,48223,88021,18470,115143,114516,41133,45168,32649,40927,35750,53499,
203,60782,42999,65199,51633,57536,38588,48342,88558,18516,115208,114867,41288,45209,32703,40977,35840,53602,
204,60836,43021,65248,51663,57553,38599,48349,88901,18521,115318,115109,41516,45242,32785,41042,35884,53683,
205,60920,43054,65332,51718,57579,38611,48384,89286,18532,115354,115290,41713,45260,32848,41119,35890,53820,
206,61086,43083,65452,51737,57600,38629,48393,89366,18540,115505,115486,41931,45260,32967,41147,35943,53876,
207,61274,43134,65509,51809,57621,38644,48408,89570,18558,115678,115727,42132,45288,33001,41167,35984,53971,
208,61362,43142,65523,51840,57643,38670,48410,89709,18603,115754,115890,42234,45300,33028,41210,36075,54023,
209,61430,43167,65531,51874,57660,38694,48410,89824,18643,115837,115899,42259,45328,33039,41312,36168,54084,
210,61493,43210,65539,51899,57675,38705,48413,89922,18691,115846,115909,42303,45365,33058,41352,36288,54106,
211,61666,43285,65541,51900,57690,38717,48415,90029,18791,115847,115926,42409,45380,33070,41407,36332,54174,
212,61772,43338,65575,51925,57722,38747,48438,90137,18967,115847,115970,42527,45422,33080,41437,36345,54215,
213,61919,43369,65607,51968,57817,38817,48447,90186,19039,115858,116041,42681,45463,33104,41482,36371,54245,
214,62071,43395,65697,52028,57863,38870,48477,90199,19076,115858,116461,42697,45491,33125,41523,36401,54265,
215,62179,43442,65754,52126,57924,38915,48495,90199,19123,115864,116700,42700,45500,33138,41582,36464,54290,
216,62245,43471,65775,52275,57926,38950,48506,90207,19207,115873,116912,42708,45541,33153,41629,36483,54314,
217,62286,43473,65824,52506,57954,38967,48513,90221,19293,115877,117214,42710,45622,33155,41675,36485,54316,
218,62376,43475,65902,52730,57999,38975,48518,90265,19294,115896,117713,42731,45717,33167,41728,36506,54316,
219,62399,43494,65998,52878,58037,38990,48542,90355,19312,115902,118388,42816,45807,33169,41747,36521,54329,
220,62432,43513,66084,52916,58100,39013,48570,90394,19346,115928,118726,42850,45846,33175,41763,36543,54332,
221,62468,43539,66166,52974,58163,39016,48665,90421,19353,115965,118994,42863,45888,33179,41778,36572,54332,
222,62487,43560,66296,53026,58202,39025,48755,90455,19363,116011,119174,42900,45898,33190,41830,36632,54333,
223,62527,43610,66524,53060,58240,39039,48799,90485,19371,116048,119361,42943,45914,33196,41899,36695,54384,
224,62532,43640,66682,53107,58349,39051,48841,90493,19371,116087,119409,42951,45944,33223,41934,36757,54405,
225,62558,43692,66686,53152,58440,39055,48896,90515,19376,116142,119465,42956,45972,33231,41972,36806,54514,
226,62565,43760,66726,53194,58484,39057,48896,90547,19424,116171,119504,42977,45997,33250,42001,36858,54567,
227,62590,43805,66781,53205,58592,39057,48929,90583,19452,116223,119557,43018,46004,33272,42022,36964,54688,
